label,id,name,source_document,purpose,description,characteristics
Document,ASPICE_PAM_4.1,null,null,null,null,null
Document,CS_PAM_2.0,null,null,null,null,null
ProcessCategory,Primary,Primary processes category,ASPICE_PAM_4.1,null,null,null
ProcessCategory,Supporting,Supporting processes category,ASPICE_PAM_4.1,null,null,null
ProcessCategory,Organizational,Organizational processes category,ASPICE_PAM_4.1,null,null,null
ProcessGroup,ACQ,Acquisition process group,ASPICE_PAM_4.1,null,null,null
ProcessGroup,SPL,Supply process group,ASPICE_PAM_4.1,null,null,null
ProcessGroup,SYS,System Engineering process group,ASPICE_PAM_4.1,null,null,null
ProcessGroup,VAL,Validation process group,ASPICE_PAM_4.1,null,null,null
ProcessGroup,SWE,Software Engineering process group,ASPICE_PAM_4.1,null,null,null
ProcessGroup,MLE,Machine Learning Engineering process group,ASPICE_PAM_4.1,null,null,null
ProcessGroup,HWE,Hardware Engineering process group,ASPICE_PAM_4.1,null,null,null
ProcessGroup,SUP,Supporting process group,ASPICE_PAM_4.1,null,null,null
ProcessGroup,MAN,Management process group,ASPICE_PAM_4.1,null,null,null
ProcessGroup,PIM,Process Improvement process group,ASPICE_PAM_4.1,null,null,null
ProcessGroup,REU,Reuse process group,ASPICE_PAM_4.1,null,null,null
ProcessGroup,SEC,Cybersecurity Engineering process group,CS_PAM_2.0,null,null,null
Process,ACQ.4,Supplier Monitoring,ASPICE_PAM_4.1,The purpose is to track and assess the performance of an external contract-based supplier company against the agreed commitments.,null,null
Process,ACQ.2,Supplier Request and Selection,CS_PAM_2.0,The purpose is to select a supplier for a commitment/agreement based on relevant criteria.,null,null
Process,SPL.2,Product Release,ASPICE_PAM_4.1,The purpose is to control the release of a product to the intended customer.,null,null
Process,SYS.1,Requirements Elicitation,ASPICE_PAM_4.1,"The purpose is to gather, analyze, and track evolving stakeholder needs and requirements throughout the lifecycle of the product and/or service to establish a set of agreed requirements.",null,null
Process,SYS.2,System Requirements Analysis,ASPICE_PAM_4.1,The purpose is to establish a structured and analyzed set of system requirements consistent with the stakeholder requirements.,null,null
